City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Key West,US,82.4,clear sky,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
9,Carnarvon,AU,73.4,overcast clouds,-24.87,113.63,Hospitality Carnarvon
15,San-Pedro,CI,76.89,clear sky,4.75,-6.64,Hotel Maria
17,Kupang,ID,89.83,clear sky,-10.17,123.58,Sylvia Hotel Premier Kupang
20,Gladstone,AU,84.2,broken clouds,-23.85,151.25,Highpoint International
21,Georgetown,MY,78.8,scattered clouds,5.41,100.34,Cititel Penang
22,Kenda,IN,75.2,haze,23.2,86.53,Gouranga Hindu Hotel
26,Rikitea,PF,76.08,clear sky,-23.12,-134.97,Pension Maro'i
27,Kendari,ID,85.28,overcast clouds,-3.94,122.5,Hotel Wixel
32,Labuhan,ID,76.68,overcast clouds,-6.88,112.21,bador sepret
33,Arraial Do Cabo,BR,71.04,scattered clouds,-22.97,-42.03,Pousada Porto Praia
36,Hilo,US,84.2,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
38,Gorontalo,ID,86.76,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
40,Mawlaik,MM,74.08,scattered clouds,23.63,94.42,AKZ Guest House
42,Kapaa,US,82.4,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
43,Salalah,OM,71.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
44,Merauke,ID,85.93,broken clouds,-8.47,140.33,
46,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
55,Kavaratti,IN,81.77,broken clouds,10.57,72.64,Hotels in Lakshadweep Islands
59,Los Llanos De Aridane,ES,80.6,clear sky,28.66,-17.92,Valle Aridane
65,Gushikawa,JP,80.6,clear sky,26.35,127.87,Kirari Guest House
67,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
70,Atuona,PF,78.24,light rain,-9.8,-139.03,Villa Enata
73,Adrar,MR,79.5,broken clouds,20.5,-10.07,
77,Puerto Ayora,EC,70.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
78,Port-Gentil,GA,78.46,moderate rain,-0.72,8.78,Fengshui Residence
81,Hobyo,SO,80.06,light rain,5.35,48.53,Osmani Hotel
82,Tezu,IN,72.14,overcast clouds,27.92,96.17,Circuit House
84,Aden,YE,81.36,clear sky,12.78,45.04,Sama Emirate Hotel
90,Itarema,BR,79.25,broken clouds,-2.92,-39.92,Windvillage
95,Lorengau,PG,85.66,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
96,Victoria,HK,75.99,clear sky,22.29,114.16,Mini Hotel Central
98,Luganville,VU,86.0,few clouds,-15.53,167.17,The Espiritu Hotel
100,Poum,NC,79.0,clear sky,-20.23,164.02,Gîte kajeon
