City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bethel,US,41.37,-73.41,35.01,80,40,3.36,scattered clouds
1,Key West,US,24.56,-81.78,82.4,74,1,10.29,clear sky
2,Hobart,AU,-42.88,147.33,66.0,67,75,9.17,shower rain
3,Panambi,BR,-28.29,-53.5,58.55,73,0,15.39,clear sky
4,Ushuaia,AR,-54.8,-68.3,48.2,87,75,6.93,broken clouds
5,Westport,US,41.14,-73.36,44.6,52,75,12.75,broken clouds
6,Busselton,AU,-33.65,115.33,60.01,76,100,1.3,light rain
7,Kaniama,CD,-7.57,24.18,63.84,94,100,1.25,overcast clouds
8,Fort Nelson,CA,58.81,-122.7,26.6,92,75,4.7,broken clouds
9,Carnarvon,AU,-24.87,113.63,73.4,60,90,18.34,overcast clouds
10,Port Lincoln,AU,-34.73,135.87,61.43,74,2,14.38,clear sky
11,Chokurdakh,RU,70.63,147.92,-8.3,91,75,7.63,broken clouds
12,Saint George,US,37.1,-113.58,69.8,15,1,3.36,clear sky
13,Richards Bay,ZA,-28.78,32.04,62.92,91,100,2.39,light rain
14,Bluff,NZ,-46.6,168.33,57.0,75,100,15.01,light rain
15,San-Pedro,CI,4.75,-6.64,76.89,92,4,4.27,clear sky
16,Santo Augusto,BR,-27.85,-53.78,59.47,74,0,15.3,clear sky
17,Kupang,ID,-10.17,123.58,89.83,42,6,2.1,clear sky
18,Barrow,US,71.29,-156.79,24.8,73,90,13.87,light snow
19,Dikson,RU,73.51,80.55,18.7,98,99,6.26,light snow
20,Gladstone,AU,-23.85,151.25,84.2,58,80,11.41,broken clouds
21,Georgetown,MY,5.41,100.34,78.8,88,40,3.36,scattered clouds
22,Kenda,IN,23.2,86.53,75.2,69,62,2.24,haze
23,Vidim,RU,56.41,103.11,11.37,92,20,3.2,few clouds
24,Mar Del Plata,AR,-38.0,-57.56,61.0,76,0,4.7,clear sky
25,Imeni Poliny Osipenko,RU,52.42,136.49,33.75,98,100,3.76,overcast clouds
26,Rikitea,PF,-23.12,-134.97,76.08,67,0,7.36,clear sky
27,Kendari,ID,-3.94,122.5,85.28,66,100,3.04,overcast clouds
28,Gillette,US,44.29,-105.5,37.0,79,1,6.93,clear sky
29,Sitka,US,57.05,-135.33,51.8,87,90,17.22,mist
30,Cape Town,ZA,-33.93,18.42,59.0,54,0,11.41,clear sky
31,New Norfolk,AU,-42.78,147.06,66.0,57,66,1.01,broken clouds
32,Labuhan,ID,-6.88,112.21,76.68,88,90,4.16,overcast clouds
33,Arraial Do Cabo,BR,-22.97,-42.03,71.04,81,48,17.07,scattered clouds
34,Port Alfred,ZA,-33.59,26.89,61.27,81,56,10.51,broken clouds
35,Dolinsk,RU,47.35,142.8,50.0,93,40,15.66,scattered clouds
36,Hilo,US,19.73,-155.09,84.2,62,40,9.17,scattered clouds
37,Saint-Philippe,RE,-21.36,55.77,66.2,59,75,9.17,broken clouds
38,Gorontalo,ID,0.54,123.06,86.76,57,100,4.07,overcast clouds
39,Sobolevo,RU,54.43,31.9,43.66,85,96,11.63,overcast clouds
40,Mawlaik,MM,23.63,94.42,74.08,92,34,0.36,scattered clouds
41,Broadstairs,GB,51.36,1.44,52.0,74,100,1.99,light rain
42,Kapaa,US,22.08,-159.32,82.4,65,75,8.05,broken clouds
43,Salalah,OM,17.02,54.09,71.6,37,0,4.7,clear sky
44,Merauke,ID,-8.47,140.33,85.93,54,59,11.5,broken clouds
45,Longkou,CN,37.65,120.33,59.76,45,16,12.64,few clouds
46,Kahului,US,20.89,-156.47,87.8,48,40,11.41,scattered clouds
47,Pangnirtung,CA,66.15,-65.71,17.6,61,75,4.7,broken clouds
48,Khani,GE,41.96,42.96,53.6,100,34,1.12,scattered clouds
49,Kaitangata,NZ,-46.28,169.85,60.01,55,93,15.99,overcast clouds
50,Honningsvag,NO,70.98,25.97,40.82,76,3,20.76,clear sky
51,Albany,US,42.6,-73.97,33.01,84,0,4.94,clear sky
52,Khatanga,RU,71.97,102.5,-5.53,87,60,9.84,broken clouds
53,Terney,RU,45.05,136.61,49.62,74,98,3.29,overcast clouds
54,Panjab,AF,34.39,67.02,18.09,71,0,1.45,clear sky
55,Kavaratti,IN,10.57,72.64,81.77,70,74,4.43,broken clouds
56,Cingoli,IT,43.37,13.2,51.01,89,100,2.8,overcast clouds
57,Kununurra,AU,-15.77,128.73,91.4,63,14,4.7,few clouds
58,Avera,US,33.19,-82.53,59.0,87,90,6.93,mist
59,Los Llanos De Aridane,ES,28.66,-17.92,80.6,22,0,10.29,clear sky
60,Zhengjiatun,CN,43.51,123.51,44.64,54,0,16.8,clear sky
61,Marzuq,YE,14.4,46.47,62.19,36,0,2.57,clear sky
62,Okato,NZ,-39.2,173.88,62.01,76,100,8.99,overcast clouds
63,Leninsk,RU,48.71,45.2,53.6,62,75,11.18,broken clouds
64,Bela Vista,BR,-22.11,-56.52,69.31,86,18,4.34,few clouds
65,Gushikawa,JP,26.35,127.87,80.6,64,1,11.41,clear sky
66,East London,ZA,-33.02,27.91,64.99,73,93,11.56,overcast clouds
67,Vaini,TO,-21.2,-175.2,77.0,83,75,11.41,broken clouds
68,Muros,ES,42.78,-9.06,63.0,92,100,14.0,light rain
69,Cidreira,BR,-30.18,-50.21,62.33,75,0,7.65,clear sky
70,Atuona,PF,-9.8,-139.03,78.24,76,13,17.05,light rain
71,Nikolskoye,RU,59.7,30.79,33.01,100,90,4.47,fog
72,Mahebourg,MU,-20.41,57.7,68.0,72,40,9.17,shower rain
73,Adrar,MR,20.5,-10.07,79.5,17,53,11.32,broken clouds
74,Norman Wells,CA,65.28,-126.83,1.4,84,40,4.7,scattered clouds
75,Yellowknife,CA,62.46,-114.35,21.99,100,90,10.29,light snow
76,Qaanaaq,GL,77.48,-69.36,6.01,82,0,5.46,clear sky
77,Puerto Ayora,EC,-0.74,-90.35,70.0,91,62,7.0,broken clouds
78,Port-Gentil,GA,-0.72,8.78,78.46,86,100,9.64,moderate rain
79,Severo-Kurilsk,RU,50.68,156.12,43.65,75,56,16.84,broken clouds
80,Grand Gaube,MU,-20.01,57.66,68.0,72,40,9.17,shower rain
81,Hobyo,SO,5.35,48.53,80.06,79,79,4.74,light rain
82,Tezu,IN,27.92,96.17,72.14,71,100,0.45,overcast clouds
83,Cherskiy,RU,68.75,161.3,11.43,89,100,3.13,overcast clouds
84,Aden,YE,12.78,45.04,81.36,67,0,17.72,clear sky
85,Longyearbyen,SJ,78.22,15.64,23.0,73,40,12.75,scattered clouds
86,Hermanus,ZA,-34.42,19.23,57.0,80,0,5.01,clear sky
87,Bredasdorp,ZA,-34.53,20.04,48.2,93,2,4.7,clear sky
88,Ampanihy,MG,-24.7,44.75,66.85,73,0,4.25,clear sky
89,Katsuura,JP,35.13,140.3,63.0,63,75,9.17,broken clouds
90,Itarema,BR,-2.92,-39.92,79.25,84,71,12.88,broken clouds
91,Pevek,RU,69.7,170.31,15.64,94,76,12.28,broken clouds
92,Huarmey,PE,-10.07,-78.15,62.22,85,100,6.04,overcast clouds
93,Ponta Delgada,PT,37.73,-25.67,69.8,94,75,13.87,broken clouds
94,Lewistown,US,40.6,-77.57,41.0,84,1,3.91,clear sky
95,Lorengau,PG,-2.02,147.27,85.66,71,14,9.33,few clouds
96,Victoria,HK,22.29,114.16,75.99,73,2,1.99,clear sky
97,Feijo,BR,-8.16,-70.35,68.65,94,100,1.95,overcast clouds
98,Luganville,VU,-15.53,167.17,86.0,66,20,11.41,few clouds
99,Whitehaven,GB,54.55,-3.58,48.0,87,100,10.0,overcast clouds
100,Poum,NC,-20.23,164.02,79.0,74,0,20.74,clear sky
101,Hoi An,VN,15.88,108.33,80.6,78,40,4.7,scattered clouds
102,Le Port,RE,-20.94,55.29,66.2,67,0,6.93,clear sky
103,Ostrovnoy,RU,68.05,39.51,27.88,94,100,18.9,overcast clouds
104,Hithadhoo,MV,-0.6,73.08,83.89,69,100,8.52,overcast clouds
105,Chernyshevskiy,RU,63.01,112.47,-1.93,92,0,2.04,clear sky
106,Te Anau,NZ,-45.42,167.72,52.72,68,100,7.65,overcast clouds
107,Skagen,DK,57.72,10.58,55.0,95,100,25.99,light rain
108,Butaritari,KI,3.07,172.79,81.77,75,100,14.7,overcast clouds
109,Port Pirie,AU,-33.18,138.02,66.2,63,0,4.7,clear sky
110,Provideniya,RU,64.38,-173.3,23.56,87,0,4.61,clear sky
111,Alofi,NU,-19.06,-169.92,80.6,74,66,18.34,light rain
112,Shimoda,JP,34.67,138.95,62.6,67,40,14.99,scattered clouds
113,Birao,CF,10.28,22.79,75.16,54,0,1.92,clear sky
114,Karlskoga,SE,59.33,14.52,50.0,87,100,11.41,overcast clouds
115,Wahpeton,US,46.27,-96.61,33.8,64,90,25.28,overcast clouds
116,Punta Arenas,CL,-53.15,-70.92,51.8,71,0,4.7,clear sky
117,Kismayo,SO,-0.36,42.55,79.18,81,9,12.39,clear sky
118,San Carlos De Bariloche,AR,-41.15,-71.31,66.2,25,0,5.82,clear sky
119,Jamestown,US,42.1,-79.24,39.99,69,1,10.29,clear sky
120,Kearney,US,40.7,-99.08,57.2,48,1,16.11,clear sky
121,Isangel,VU,-19.55,169.27,80.53,70,100,14.83,overcast clouds
122,Asau,RO,46.43,26.4,46.4,87,82,21.92,drizzle
123,Dholka,IN,22.72,72.47,62.6,67,0,3.36,haze
124,Otjiwarongo,NA,-20.46,16.65,68.72,35,90,10.02,light rain
125,Umm Kaddadah,SD,13.6,26.69,83.21,24,96,18.25,overcast clouds
126,Saint-Augustin,CA,51.23,-58.65,28.45,80,0,10.51,clear sky
127,Brae,GB,60.4,-1.35,50.0,81,100,40.26,light rain
128,Upernavik,GL,72.79,-56.15,16.02,95,100,13.31,overcast clouds
129,Hargeysa,SO,9.56,44.06,63.97,78,0,7.58,clear sky
