City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2020-10-31 05:23:24,-21.2,-175.2,75.2,78,75,11.41
1,Sao Joao Do Piaui,BR,2020-10-31 05:23:24,-8.36,-42.25,83.16,49,96,8.1
2,Bluff,NZ,2020-10-31 05:23:24,-46.6,168.33,52.0,87,100,15.99
3,Mana,GF,2020-10-31 05:23:24,5.66,-53.78,78.84,87,3,9.51
4,Virginia Beach,US,2020-10-31 05:22:08,36.85,-75.98,53.01,67,43,1.99
5,Port-Cartier,CA,2020-10-31 05:23:24,50.03,-66.87,26.6,68,1,6.93
6,Hilo,US,2020-10-31 05:23:24,19.73,-155.09,77.0,83,90,3.36
7,Vila,PT,2020-10-31 05:23:24,42.03,-8.16,54.0,94,59,1.99
8,Khatanga,RU,2020-10-31 05:23:24,71.97,102.5,-9.69,86,0,5.68
9,Jamestown,US,2020-10-31 05:23:25,42.1,-79.24,34.0,92,90,8.05
10,Rikitea,PF,2020-10-31 05:23:25,-23.12,-134.97,76.01,67,0,4.0
11,Provideniya,RU,2020-10-31 05:23:25,64.38,-173.3,21.04,84,26,6.96
12,Zalesovo,RU,2020-10-31 05:23:25,53.99,84.74,33.98,97,100,8.25
13,Upata,VE,2020-10-31 05:23:25,8.01,-62.4,78.01,93,100,1.99
14,Albany,US,2020-10-31 05:20:03,42.6,-73.97,30.0,86,43,3.71
15,Dikson,RU,2020-10-31 05:23:25,73.51,80.55,15.4,96,98,26.24
16,Tual,ID,2020-10-31 05:23:25,-5.67,132.75,84.04,69,6,11.56
17,Port Alfred,ZA,2020-10-31 05:23:25,-33.59,26.89,61.81,63,92,3.13
18,Palembang,ID,2020-10-31 05:23:25,-2.92,104.75,93.52,53,32,1.34
19,Acapulco,MX,2020-10-31 05:22:37,16.86,-99.89,80.71,73,95,2.13
20,Mar Del Plata,AR,2020-10-31 05:23:25,-38.0,-57.56,51.01,93,0,5.82
21,Port Hedland,AU,2020-10-31 05:23:25,-20.32,118.57,91.4,43,0,19.46
22,Howard Springs,AU,2020-10-31 05:23:25,-12.5,131.05,96.01,49,20,13.87
23,Lingao,CN,2020-10-31 05:23:25,19.91,109.69,78.93,78,51,14.9
24,Tuatapere,NZ,2020-10-31 05:23:26,-46.13,167.68,52.0,87,100,15.99
25,Saint George,US,2020-10-31 05:18:31,37.1,-113.58,57.2,22,1,1.5
26,Hommelvik,NO,2020-10-31 05:23:26,63.41,10.79,42.8,93,40,10.29
27,Atuona,PF,2020-10-31 05:23:26,-9.8,-139.03,77.77,76,63,11.61
28,Sile,TR,2020-10-31 05:23:26,41.18,29.61,54.0,79,42,4.0
29,Cape Town,ZA,2020-10-31 05:21:10,-33.93,18.42,59.0,58,0,17.22
30,Pisco,PE,2020-10-31 05:23:26,-13.7,-76.22,63.0,88,90,4.7
31,Castro,BR,2020-10-31 05:22:54,-24.79,-50.01,51.62,93,99,9.51
32,Saldanha,ZA,2020-10-31 05:20:16,-33.01,17.94,51.8,71,0,4.7
33,Ponta Do Sol,PT,2020-10-31 05:20:09,32.67,-17.1,66.2,59,0,10.29
34,Obihiro,JP,2020-10-31 05:23:26,42.92,143.2,55.4,56,20,12.75
35,Bredasdorp,ZA,2020-10-31 05:23:26,-34.53,20.04,55.4,71,17,2.77
36,Hithadhoo,MV,2020-10-31 05:23:26,-0.6,73.08,83.91,73,100,10.04
37,Ushuaia,AR,2020-10-31 05:23:26,-54.8,-68.3,48.2,76,75,17.22
38,Margate,GB,2020-10-31 05:23:26,51.38,1.39,57.99,72,12,5.99
39,Bilma,NE,2020-10-31 05:23:26,18.69,12.92,66.76,35,0,13.98
40,Busselton,AU,2020-10-31 05:23:27,-33.65,115.33,68.16,65,100,12.24
41,Port Elizabeth,ZA,2020-10-31 05:20:12,-33.92,25.57,59.0,77,20,6.93
42,Kapaa,US,2020-10-31 05:23:27,22.08,-159.32,75.2,73,1,4.7
43,Carnarvon,AU,2020-10-31 05:23:27,-24.87,113.63,78.8,65,90,18.34
44,Mataura,NZ,2020-10-31 05:23:27,-46.19,168.86,52.0,87,100,15.99
45,Kalabo,ZM,2020-10-31 05:23:27,-14.97,22.68,76.51,32,70,6.31
46,Lavrentiya,RU,2020-10-31 05:23:27,65.58,-171.0,20.3,90,0,10.85
47,Kruisfontein,ZA,2020-10-31 05:23:27,-34.0,24.73,55.0,87,0,2.53
48,Akyab,MM,2020-10-31 05:23:27,20.15,92.9,81.36,76,85,5.86
49,Meulaboh,ID,2020-10-31 05:23:27,4.14,96.13,85.75,62,100,4.36
50,Cherskiy,RU,2020-10-31 05:23:27,68.75,161.3,4.55,88,94,5.41
51,Marathon,US,2020-10-31 05:23:27,44.9,-89.77,27.0,73,1,4.7
52,East London,ZA,2020-10-31 05:23:27,-33.02,27.91,57.2,87,75,6.93
53,Punta Arenas,CL,2020-10-31 05:23:27,-53.15,-70.92,42.01,86,75,5.82
54,Kaohsiung,TW,2020-10-31 05:22:01,22.62,120.31,84.2,54,75,6.93
55,Lumut,MY,2020-10-31 05:23:28,4.23,100.63,89.6,70,40,2.24
56,Snasa,NO,2020-10-31 05:23:28,64.25,12.38,38.79,86,100,3.09
57,Moron,AR,2020-10-31 05:21:17,-34.65,-58.62,57.99,98,0,3.36
58,Kon Tum,VN,2020-10-31 05:23:28,14.35,108.0,77.52,75,94,4.7
59,Alta Floresta,BR,2020-10-31 05:23:28,-9.88,-56.09,71.31,96,99,2.73
60,Huilong,CN,2020-10-31 05:23:28,31.81,121.66,73.99,51,0,5.77
